"Device Name","Status","5K Pricing","Program Memory Size (Kbytes)","RAM (bytes)","EEPROM / HEF","Pin count","Max. CPU Speed MHz","Peripheral Pin Select (PPS)","Internal Oscillator","# of Comparators","Operational Amplifier","Total # of A/D channels","Max A/D Resolution (bits)","ADCC with Computation","Number of D/A Converters","Max D/A Resolution (bits)","Internal Voltage Reference (Bandgap)","Zero Cross detect","Slope Compensation / Programmable Ramp Generator","Data Signal Modulator (DSM)","Max 8 Bit Digital Timers","Max 16 Bit Digital Timers","Signal Measurement Timer","Hardware Limit Timer","Max # PWM outputs (including complementary outputs)","Max PWM Resolution (bits)","Angular Timer","Math Accelerator","UART","SPI?","I2C","Number of USB Modules","Windowed Watchdog Timer (WWDT)","CRC/Scan","Configurable Logic Cell Modules (CLC)","Complementary Waveform Generator (CWG) / Complementary Output Generator (COG)","Numerically Controlled Oscillator (NCO)","Programmable switched mode controller","Cap. Touch Channels","Segment LCD","Temp. Range Min.","Temp. Range Max.","Operation Voltage Min.(V)","Operation Voltage Max.(V)","High Voltage Capable","Packages"
PIC10F200,"In Production","$0.43","0.375","16","0","6","44","No","4 MHz","0","0","0","0","No","0","0","No","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","0","0"," -40","125","2","5.5","No"," 6/SOT-23,8/DFN,8/PDIP"
PIC10F202,"In Production","$0.47","0.75","24","0","6","4","No","4 MHz","0","0","0","0","No","0","0","No","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","0","0"," -40","125","2","5.5","No"," 6/SOT-23,8/DFN,8/PDIP"
PIC10F204," In Production,Please consider device: PIC10F322","$0.47","0.375","16","0","6","4","No","4 MHz","1","0","0","0","No","0","0","Yes","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","0","0"," -40","125","2","5.5","No"," 6/SOT-23,8/DFN,8/PDIP"
PIC10F220,"In Production","$0.47","0.375","16","0","6","8","No","4 MHz, 8 MHz","0","0","2","8","No","0","0","Yes","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","2","0"," -40","125","2","5.5","No"," 6/SOT-23,8/DFN,8/PDIP"
PIC10F320,"In Production","$0.47","0.448","64"," 0 / HEF","6","16","No","16 MHz, 32 kHz","0","0","3","8","No","0","0","Yes","No","0","0","2","0","0","0","4","10","No","No","0","0","0","0","No","No","1",,"1","0","3","0"," -40","125","1.8","5.5","No"," 6/SOT-23,8/DFN,8/PDIP"
PIC10F206,"In Production","$0.49","0.75","24","0","6","4","No","4 MHz","1","0","0","0","No","0","0","Yes","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","1","0"," -40","125","2","5.5","No"," 6/SOT-23,8/DFN,8/PDIP"
PIC10F222," In Production,Please consider device: PIC10F322","$0.49","0.75","23","0","6","8","No","4 MHz, 8 MHz","0","0","2","8","No","0","0","Yes","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","2","0"," -40","125","2","5.5","No"," 6/SOT-23,8/DFN,8/PDIP"
PIC10F322,"In Production","$0.50","0.896","64"," 0 / HEF","6","16","No","16 MHz, 32 kHz","0","0","3","8","No","0","0","Yes","No","0","0","2","0","0","0","4","10","No","No","0","0","0","0","No","No","1",,"1","0","3","0"," -40","125","1.8","5.5","No"," 6/SOT-23,8/DFN,8/PDIP,14/PDIP"
PIC12F1571,"In Production","$0.50","1.75","128"," 0 / HEF","8","32","No","32 MHz, 32 kHz","1","0","4","10","No","1","5","Yes","No","0","0","2","4","0","0","4","16","No","No","0","0","0","0","No","No","0",,"0","0","4","0"," -40","125","1.8","5.5","No"," 8/DFN,8/MSOP,8/PDIP,8/SOIC,8/UDFN"
PIC16F54,"In Production","$0.55","0.75","25","0","18","20","No","No","0","0","0","0","No","0","0","No","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","0","0"," -40","125","2","5.5","No"," 18/PDIP,18/SOIC,20/SSOP"
PIC12F1501,"In Production","$0.56","1.75","64"," 0 / HEF","8","20","No","16 MHz, 32 kHz","1","0","4","10","No","1","5","Yes","No","0","0","2","1","0","0","5","10","No","No","0","0","0","0","No","No","2",,"1","0","4","0"," -40","125","1.8","5.5","No"," 8/DFN,8/MSOP,8/PDIP,8/SOIC,8/UDFN"
PIC12F1572,"In Production","$0.56","3.5","256"," 0 / HEF","8","32","No","32 MHz, 32 kHz","1","0","4","10","No","1","5","Yes","No","0","0","2","4","0","0","4","16","No","No","1","0","0","0","No","No","0",,"0","0","4","0"," -40","125","1.8","5.5","No"," 8/DFN,8/MSOP,8/PDIP,8/SOIC,8/UDFN"
PIC16F15313,"In Production","$0.56","3.5","256"," 0 / HEF","8","32","Yes","32 MHz, 32 kHz","1","0","5","10","No","1","5","No","Yes","0","0","1","2","0","1","10","10","No","No","1","1","1","0","No","No","4","1","1","0","0","0"," -40","125","1.8","5.5","No"," 8/PDIP,8/SOIC,8/UDFN"
PIC12F508," In Production,Please consider device: PIC16F15313","$0.57","0.75","25","0","8","4","No","4 MHz","0","0","0","0","No","0","0","No","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","0","0"," -40","125","2","5.5","No"," 8/DFN,8/MSOP,8/PDIP,8/SOIC"
PIC16F527,"In Production","$0.59","1.5","68"," 64 / HEF","20","20","No","4 MHz, 8 MHz","2","2","8","8","No","0","0","Yes","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","8","0"," -40","125","2","5.5","No"," 20/PDIP,20/QFN,20/SOIC,20/SSOP,20/UQFN"
PIC16F15323,"In Production","$0.61","3.5","256"," 0 / HEF","14","32","Yes","32 MHz, 32 kHz","2","0","11","10","No","1","5","No","Yes","0","0","1","2","0","1","10","10","No","No","1","1","1","0","No","No","4","1","1","0","0","0"," -40","125","1.8","5.5","No"," 14/PDIP,14/SOIC,14/TSSOP,16/UQFN,16/VQFN"
PIC12F509," In Production,Please consider device: PIC16F15313","$0.62","1.5","41","0","8","4","No","4 MHz","0","0","0","0","No","0","0","No","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","0","0"," -40","125","2","5.5","No"," 8/DFN,8/MSOP,8/PDIP,8/SOIC,8/SOIJ"
PIC12F519,"In Production","$0.64","1.5","41","64","8","8","No","4 MHz, 8 MHz","0","0","0","0","No","0","0","No","No","0","0","1","0","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","0","0"," -40","125","2","5.5","No"," 8/DFN,8/MSOP,8/PDIP,8/SOIC"
PIC12LF1552,"In Production","$0.64","3.5","256"," 0 / HEF","8","32","No","16 MHz, 32 kHz","0","0","5","10","No","0","0","No","No","0","0","1","0","0","0","0","0","No","No","0","1","1","0","No","No","0","0","0","0","4","0"," -40","85","1.8","3.6","No"," 8/MSOP,8/PDIP,8/SOIC,8/UDFN"
PIC16F18313,"In Production","$0.64","3.5","256","256","8","32","Yes","32 MHz, 32 kHz","1","0","5","10","No","1","5","Yes","No","0","2","2","1","0","0","8","10","No","No","1","1","1","0","No","No","2",,"1","0","5","0"," -40","125","1.8","5.5","No"," 8/PDIP,8/SOIC,8/UDFN"
PIC18F24Q10,"In Production","$0.65","16","1024","256","28","64","Yes","64MHZ, 64KHz","2","0","24","10","Yes","1","5","Yes","Yes","0","1","3","4","0","1","0","10","No","No","1","1","1","0","No","Yes","0","1","0","0","24","0"," -40","125","1.8","5.5","No"," 28/QFN,28/SOIC,28/SPDIP,28/SSOP,28/UQFN,28/VQFN"
